type;title;director;country;release_year;cast;
Movie;F.R.E.D.I.;Sean Olson;United States;2018;Kelly Hu.Angus Macfadyen.Candace Cameron Bure.Lucius Hoyos.Reid Miller.Tyler Christopher.Casimere Jollette.Christina Cox.Texas Battle.Harvey Guillen;
TV Show;Flowers;;United Kingdom;2018;Olivia Colman.Julian Barratt.Daniel Rigby.Sophia Di Martino.Leila Hoffman.Will Sharpe.Harriet Walter;
Movie;Kita Kita;Sigrid Andrea Bernardo;Philippines;2017;Alessandra de Rossi.Empoy Marquez;
Movie;Once in a Lifetime Sessions with George Ezra;;United States;2018;;
Movie;Once in a Lifetime Sessions with Kasabian;Matt Askem;United States;2018;Sergio Pizzorno.Tom Meighan.Chris Edwards.Ian Mattthews.Lauren Laverne;
Movie;Once in a Lifetime Sessions with OneRepublic;;United States;2018;;
Movie;Once in a Lifetime Sessions with Snow Patrol;Matt Askem;United States;2018;Gary Lightbody.Nathan Connolly.Jonny Quinn.Paul Wilson.Johnny McDaid.Edith Bowman;
Movie;Sad Hill Unearthed;Guillermo de Oliveira;Spain;2017;;
Movie;Vanjagar Ulagam;Manoj Beedha;India;2018;Guru Somasundaram.Cibi Bhuvana Chandran.Vishagan Vanangamudi.Anisha Ambrose.Chandini Tamilarasan.Azhagamperumal.John Vijay.Vasu Vikram.Hareesh Peradi.Jayaprakash Radhakrishnan;
TV Show;Hymn of Death;;South Korea;2018;Lee Jong-suk.Shin Hye-sun.Kim Myeong-su.Park Seon-im.Kim Won-hae.Hwang Yeong-hee.Lee Ji-hoon.Go Bo-gyeol.Shin Jae-ha;
TV Show;Inside the Real Narcos;;;2018;Jason Fox;
Movie;ROMA;Alfonso Cuarón;Mexico.United States;2018;Yalitza Aparicio.Marina de Tavira;
TV Show;The Fix;;United States;2018;Jimmy Carr.D.L.Hughley.Katherine Ryan;
TV Show;The Innocent Man;;United States;2018;John Grisham;
TV Show;Tidelands;;Australia;2018;Charlotte Best.Elsa Pataky.Marco Pigossi.Aaron Jakubenko.Mattias Inwood.Dalip Sondhi.Alex Dimitriades.Richard Davies.Caroline Brazier.Peter O'Brien.Madeleine Madden;
TV Show;Travelers;;Canada.United States;2018;Eric McCormack.MacKenzie Porter.Nesta Cooper.Jared Paul Abrahamson.Reilly Dolman.Patrick Gilmore;
TV Show;Voltron: Legendary Defender;;United States;2018;Jeremy Shada.Tyler Labine.Bex Taylor-Klaus.Josh Keaton.Steven Yeun.Kimberly Brooks.Rhys Darby.A.J.LoCascio;
TV Show;Back Street Girls -GOKUDOLS-;;Japan;2018;Daisuke Ono.Satoshi Hino.Kazuyuki Okitsu.Yuka Nukui.Kaori Maeda.Hikaru Akao.Junichi Suwabe.Keiji Fujiwara;
Movie;Out of Many.One;John Hoffman.Nanfu Wang;United States;2018;;
Movie;Vir Das: Losing It;Marcus Raboy;United States;2018;Vir Das;
Movie;5 Star Christmas;Marco Risi;Italy;2018;Massimo Ghini.Ricky Memphis.Martina Stella.Ralph Palka.Biagio Izzo.Riccardo Rossi.Paola Minaccioni;
TV Show;Dogs of Berlin;;Germany;2018;Felix Kramer.Fahri Yardim.Anna Maria Mühe.Katharina Schüttler.Alina Stiegler.Urs Rechn.Sinan Farhangmehr.Kais Setti.Mohamed Issa.Hauke Diekamp.David Bennent.Deniz Orta.Katrin Saß.Sebastian Zimmler;
Movie;Dumplin';Anne Fletcher;United States;2018;Danielle Macdonald.Jennifer Aniston.Odeya Rush.Maddie Baillio.Bex Taylor-Klaus.Luke Benward.Georgie Flores.Dove Cameron.Harold Perrineau.Kathy Najimy.Ginger Minj.Hilliary Begley;
Movie;Free Rein: The Twelve Neighs of Christmas;Marek Losey;;2018;Jaylen Barron.Billy Angel.Manpreet Bambra.Celine Buckens.Freddy Carter.Bruce Herbelin-Earle.Kerry Ingram.Charlotte Jordan.Geoff McGivern.Martin Bobb-Semple;
Movie;Mowgli: Legend of the Jungle;Andy Serkis;United Kingdom.United States;2018;Christian Bale.Cate Blanchett.Benedict Cumberbatch.Naomie Harris.Andy Serkis.Rohan Chand.Peter Mullan.Jack Reynor.Eddie Marsan.Tom Hollander.Louis Ashbourne Serkis.Matthew Rhys.Freida Pinto;
TV Show;Neo Yokio;;United States;2018;Jaden Smith.Jude Law.Tavi Gevinson.Susan Sarandon.Desus Nice.The Kid Mero.Richard Ayoade.Willow Smith.Kiernan Shipka.Jason Schwartzman.Amandla Stenberg.Ray Wise;
TV Show;Pine Gap;Mat King;Australia;2018;Parker Sawyers.Jacqueline McKenzie.Steve Toussaint.Tess Haubrich.Stephen Curry.Lewis Fitz-Gerald.Mark Leonard Winter;
Movie;ReMastered: Who Killed Jam Master Jay?;Brian Oakes;;2018;;
Movie;Super Monsters and the Wish Star;Jacob Joice;;2018;Elyse Maloway.Vincent Tong.Erin Mathews.Andrea Libman.Alessandro Juliani.Nicole Anthony.Diana Kaarina.Ian James Corlett.Britt McKillip.Kathleen Barr.Gigi Saul Guerrero;
Movie;The American Meme;Bert Marcus;United States;2018;Paris Hilton.Josh Ostrovsky.Brittany Furlan.Kirill Bichutsky.DJ Khaled.Emily Ratajkowski.Hailey Baldwin;
Movie;RUSSELL BRAND: RE:BIRTH;Chris Howe;;2018;Russell Brand;
TV Show;The Sound of Your Heart: Reboot;;South Korea;2018;Sung Hoon.Kwon Yuri.Tae Hang-ho.Joo Jin-mo.Shim Hye-jin.Ji Su-won.Park Cheol-min.Kim Seong-won.Kang Yoon.Seo Eun-ah.Bae Yoon-kyung;
TV Show;Memories of the Alhambra;;South Korea;2018;Hyun Bin.Park Shin-hye.Park Hoon.Kim Yong-rim.Chanyeol.Lee Re.Lee Hak Joo.Lee Si-won.Kim Eui-sung;
Movie;Teefa in Trouble;Ahsan Rahim;Pakistan;2018;Ali Zafar.05.a Ali.Javed Sheikh.Mehmood Aslam.Faisal Qureshi.Nayyar Ejaz.Asma Abbas.Marhoom Ahmad Bilal.Simi Raheal.Salman Bokhari;
Movie;A Beautiful Life;Andrew Lau Wai-Keung;China.Hong Kong;2011;Qi Shu.Liu Ye.Anthony Wong Chau-Sang.Liang Tian.Danying Feng.Rina Sa.Zhang Songwen.Tian Gao.Andrew Lin;
Movie;Accident;Cheang Pou Soi;Hong Kong;2009;Louis Koo.Richie Ren.Stanley Fung Sui-Fan.Michelle Ye.Lam Suet.Alexander Chan.Monica Mok;
Movie;Ayotzinapa.el paso de la tortuga;Enrique García Meza;Mexico;2018;;
Movie;Battle;Katarina Launing;Norway.Denmark.Netherlands.Sweden;2018;Lisa Teige.Fabian Svegaard Tapia.Vebjørn Enger.Charlott Madeleine Utzig.Stig R.Amdam.Karen-Lise Mynster;
Movie;Blind Detective;Johnnie To;Hong Kong.China;2013;Andy Lau.Sammi Cheng.Gao Yuanyuan.Guo Tao.Philip Keung.Lam Suet.Lo Hoi-pang.Tai-Lo Ma.Man-Wai Wong.Ying-Ying Yiu.Yi Zi;
Movie;Break Up 100;Lawrence Cheng;Hong Kong;2014;Ekin Cheng.Chrissie Chow.Ivana Wong.Jase Ho.Alex Lam.Wen Xin.Miriam Chin Wah Yeung.Eric Kot.Kar Lok Chin;
Movie;Chal Bhaag;Prakash Balwant Saini;India;2014;Deepak Dobriyal.Tarun Bajaj.Keeya Khanna.Varun Mehra.Sanjay Mishra.Yashpal Sharma.Mukesh Tiwari.Atul Srivastava.Manish Khanna.Kunwar Aziz;
Movie;Crossroads: One Two Jaga;Nam Ron;Malaysia;2018;Zahiril Adzim.Ario Bayu.Asmara Abigail.Rosdeen Suboh.Amerul Affendi.Iedil Putra.Timothy Castillo.Chew Kin Wah.Along Eyzendy.Nam Ron;
Movie;Don't Go Breaking My Heart;Johnnie To;Hong Kong;2011;Louis Koo.Gao Yuanyuan.Daniel Wu;
Movie;Don't Go Breaking My Heart 2;Johnnie To;Hong Kong.China;2014;Louis Koo.Gao Yuanyuan.Miriam Chin Wah Yeung.Vic Chou.Daniel Wu;
Movie;Faraar;Baljit Singh Deo;Australia;2015;Kainaat Arora.Jaggi Singh.Gippy Grewal;
TV Show;Haunted House;;;2017;Jo Hyun-jung.Gim Young-eun.Gim Chae-ha.I So Eun.Choe Jae-ho;
Movie;Helios;Leung Lok Man.Luk Kim-ching;Hong Kong.China.United States;2015;Jacky Cheung.Nick Cheung.Chang Chen.Shawn Yue.Wang Xueqi.Janice Man.Ji Jin-hee.Choi Si-won;
Movie;Line Walker;Jazz Boon;China.Hong Kong;2016;Nick Cheung.Louis Koo.Francis Chun-Yu Ng.Charmaine Sheh.Hui Shiu Hung.Li Guangjie.Zhang Huiwen.Xing Yu.Cheng Taishen.Moses Chan.Louis Cheung;
Movie;Look for a Star;Andrew Lau Wai-Keung;Hong Kong;2009;Andy Lau.Qi Shu.Zhang Hanyu.Denise Ho.Dominic Lam.Xinyi Zhang.David Chiang.George Lam.Rebecca Pan.Maria Cordero.Tat-Ming Cheung;
Movie;Oddbods: The Festive Menace;;;2018;Nadia Ramlee.Chio Su-Ping.Jeremy Linn.Marlon Dance-Hooi;
Movie;Once a Gangster;Felix Chong;Hong Kong;2010;Ekin Cheng.Jordan Chan.Alex Fong.Michelle Ye.On-on Yu.Wilfred Lau.Conroy Chan;
Movie;Power Paandi;Dhanush;India;2017;Rajkiran.Dhanush.Prasanna.Chaya Singh.Revathy.Madonna Sebastian.Vidyullekha Raman;
Movie;Roll With Me;;United States;2017;;
Movie;SDU: Sex Duties Unit;Gary Mak;Hong Kong;2013;Chapman To.Shawn Yue.Matt Chow.Kwok Cheung Tsang;
Movie;Set Off;Liu Jiang;China;2008;Wenpei Ju.Fan Wei.Liu Hua.Qianyuan Wang.Ren Zhengbin.He Jiang;
TV Show;1983;;Poland.United States;2018;Robert Więckiewicz.Maciej Musiał.Michalina Olszańska.Andrzej Chyra.Clive Russell.Zofia Wichłacz.Edyta Olszówka.Mateusz Kościukiewicz.Ewa Błaszczyk.Vu Le Hong.Tomasz Włosok.Krzysztof Wach;
Movie;A Christmas Prince: The Royal Wedding;John Schultz;United States;2018;Rose McIver.Ben Lamb.Alice Krige.Simon Dutton.Honor Kneafsey.Sarah Douglas.Theo Devaney.John Guerrasio.Andy Lucas.Raj Bajaj.Richard Ashton.Billy Angel.Tahirah Sharif.Joel McVeagh;
Movie;Angela's Christmas;Damien O’Connor;Ireland.Canada;2018;Lucy O'Connell.Ruth Negga.Brendan Mullins.Malachy McCourt.Vivian Drew.Anya O'Connor.Janet Moran.Brian Gleeson.Pat Kinevane;
TV Show;Death by Magic;;United States;2018;Drummond Money-Coutts;
Movie;El club de los insomnes;Joseduardo Giordano.Sergio Goyri Jr.;Mexico;2018;Cassandra Ciangherotti.Leonardo Ortizgris.Alejandra Ambrosi.Alexandra De La Mora.Mónica Dionne.Sergio Goyri.Fernando Becerril.Humberto Busto.Marco Méndez.Alejandra Urdiaín.Khristian Clausen.Fernando Luján;
Movie;Happy as Lazzaro;Alice Rohrwacher;Italy.Switzerland.France.Germany;2018;Adriano Tardiolo.Agnese Graziani.Alba Rohrwacher.Luca Chikovani.Tommaso Ragno.Sergi López.Natalino Balasso.Carlo Tarmati.Pasqualina Scuncia.Nicoletta Braschi;
TV Show;Love and Fortune;;Japan;2018;Eri Tokunaga.Daichi Watanabe.Fuju Kamio.Sairi Ito.Mina Fujii.Mansaku Ikeuchi.Kinuo Yamada.Yuka Ogura.Enon Kawatani.Yui Imaizumi.Noriko Eguchi.Masanobu Ando.Kitaro;
Movie;Manto;Nandita Das;India;2018;Nawazuddin Siddiqui.Rasika Dugal.Tahir Raj Bhasin;
Movie;Rajma Chawal;Leena Yadav;India;2018;Rishi Kapoor.Anirudh Tanwar.Amyra Dastur.Jitendra Shastri.Aparshakti Khurana.Harish Khanna.Manu Rishi Chadha.Nirmal Rishi.Sheeba Chaddha.Adil Hussain.Rahul Ram.Mukesh Chhabra;
TV Show;Spy Kids: Mission Critical;;United States.Canada;2018;Ashley Bornancin.Carter Hastings.Caitlyn Bairstow.Nicholas Coombe.Nesta Cooper.Richard Ian Cox.Tom Kenny.Travis Turner.Candi Milo.Mira Sorvino;
Movie;The World Is Yours;Romain Gavras;France;2018;Isabelle Adjani.Karim Leklou.François Damiens.Vincent Cassel.Oulaya Amamra;
Movie;Time Share;Sebastián Hofmann;Mexico.Netherlands;2018;Luis Gerardo Méndez.Miguel Rodarte.R.J.Mitte.Cassandra Ciangherotti.Montserrat Marañon.Andrés Almeida.Emiliano Rodríguez;
TV Show;Bumping Mics with Jeff Ross & Dave Attell;;United States;2018;Jeff Ross.Dave Attell;
TV Show;Minecraft: Story Mode;;United States.Sweden;2015;Patton Oswalt.Catherine Taber.Sean Astin.Melissa Hutchison.Ashley Johnson.Matthew Mercer.Jim Meskimen.Martha Plimpton.Scott Porter.Brian Posehn.Paul Reubens.Billy West.Dave Fennoy;
Movie;My Little Pony Friendship Is Magic: Best Gift Ever;Denny Lu.Mike Myhre;United States;2018;Tara Strong.Andrea Libman.Ashleigh Ball.Cathy Weseluck.Tabitha St.Germain.John de Lancie.Sam Vincent.Garry Chalk;
TV Show;Frontier;;Canada;2018;Jason Momoa.Landon Liboiron.Alun Armstrong.Jessica Matten.Zoe Boyle.Allan Hawco.Evan Jonigkeit.Katie McGrath;
TV Show;Fugitiva;;Spain;2018;Paz Vega.Julio Bracho.Arantza Ruiz.Luisa Rubino.Lander Otaola.Iván Pellicer.José Manuel Poga.Mercedes Sampietro.Charo López.Roberto Álamo.Raúl Medina.Melina Matthews.Pedro Mari Sánchez.Odiseo Bichir;
TV Show;Sick Note;;United Kingdom;2018;Rupert Grint.Nick Frost.Don Johnson.Lindsay Lohan.Pippa Bennett-Warner.Marama Corlett.Karl Theobald.Belinda Stewart-Wilson.Camilla Beeput.Dustin Demri-Burns.Tolu Ogunmefun;
TV Show;Mystery Science Theater 3000: The Return;;United States;2018;Felicia Day.Patton Oswalt.Jonah Ray.Baron Vaughn.Hampton Yount;
Movie;The Christmas Chronicles;Clay Kaytis;United States;2018;Kurt Russell.Darby Camp.Judah Lewis.Kimberly Williams-Paisley.Oliver Hudson.Lamorne Morris.Martin Roach;
Movie;The Tribe;Fernando Colomo;Spain;2018;Paco León.Carmen Machi.Luis Bermejo.Maribel del Pino.Maite Sandoval.Arlette Torres.Marisol Aznar.María José Sarrate.Manuel Huedo.Artur Busquets;
TV Show;Kulipari: Dream Walker;;;2018;Charlie Adler.Mark Hamill.Jess Harnell.Phil LaMarr.Josh Keaton.Mikey Kelley.Amy Margolis.Wendie Malick.Kevin Michael Richardson.Candi Milo.Laraine Newman;
TV Show;Paap-O-Meter;;;2017;;
Movie;Puppy Star Christmas;Robert Vince;United States.Canada;2018;Kaitlyn Maher.Mackenzie Sol.Makenzie Moss.David DeLuise.George Newbern.Reggie De Leon.Diedrich Bader.Chloe Coleman.Oakley Bull.Dillon Fontana.vivienne Rutherford.Tyreese Burnett;
Movie;Sabrina;Rocky Soraya;Indonesia;2018;Luna 05.a.Christian Sugiono.Sara Wijayanto.Jeremy Thomas.Richelle Georgette Skornicki.Rizky Hanggono.Asri Handayani;
Movie;Target;Raditya Dika;Indonesia;2018;Raditya Dika.Cinta Laura Kiehl.Samuel Rizal.Willy Dozan.Abdur Arsyad.Hifdzi Khoir.Romy Rafael.Ria Ricis.Anggika Bolsterli;
TV Show;The Final Table;;United States;2018;Andrew Knowlton;
Movie;Trevor Noah: Son of Patricia;David Paul Meyer;United States;2018;Trevor Noah;
Movie;The Pixar Story;Leslie Iwerks;United States;2007;Stacy Keach;
TV Show;Eternal Love;;China;2017;Yang Mi.Mark Chao.Dilraba Dilmurat.Ken Chang.Vengo Gao.Huang Mengying;
TV Show;La Doña;;United States.Mexico;2016;Aracely Arámbula.David Chocarro.Danna Paola.Rebecca Jones.Odiseo Bichir.Gabriela Roel.Andrea Martí.Juan Ríos Cantú.Diego Soldano.Daniela Bascopé;
TV Show;Silvana Sin Lana;;United States;2016;Maritza Rodríguez.Carlos Ponce.Marimar Vega.Adriana Barraza.Marcela Guirado.Ricardo Abarca.Thali García.Alexandra Pomales.Briggitte Bozzo.Santiago Torres.Patricio Gallardo.Roberto Escobar.Samantha Dagnino.Raury Rolander.Vince Miranda.Javier Valcárcel;
Movie;Cam;Daniel Goldhaber;United States;2018;Madeline Brewer.Patch Darragh.Melora Walters.Devin Druid.Imani Hakim.Michael Dempsey.Flora Diaz.Samantha Robinson.Jessica Parker Kennedy.Quei Tann;
Movie;Nothing to Hide;Fred Cavayé;France.Belgium;2018;Bérénice Bejo.Suzanne Clément.Stéphane De Groodt.Vincent Elbaz.Grégory Gadebois.Doria Tillier.Roschdy Zem.Fleur Fitoussi;
TV Show;Ponysitters Club;;Canada;2018;Morgan Neundorf.Madeline Leon.Khiyla Aynne.Cailan Laine Punnewaert.Zyon Allen.05.a Franzoi.Victoria Tomazelli.Hugh Wilson.Diana Chrisman;
Movie;The Ballad of Buster Scruggs;Joel Coen.Ethan Coen;United States;2018;Liam Neeson.James Franco.Tim Blake Nelson.Tom Waits.Zoe Kazan.Brendan Gleeson;
Movie;The Princess Switch;;United States;2018;Vanessa Hudgens.Sam Palladio.Nick Sagar.Suanne Braun.Mark Fleischmann.Amy Griffiths.Sara Stewart.Pavel Douglas.Robin Soans.Calliope Taylor.Natali Yura.Alexa Adeosun;
TV Show;Vai Anitta;;Brazil;2018;Anitta;
Movie;Aalorukkam;V C Abhilash;India;2018;Indrans.Sreekanth Menon.Vishnu Agasthya.Aliyar.Seethabaala.Shaji John.Sajith Nampiyar.Benny Vadakkan;
TV Show;Beyblade Burst Evolution;;;2017;Marina Inoue.Ryoko Shiraishi.Takuma Terashima.Junko Takeuchi.Fumihiro Okabayashi.Yu Kobayashi.Ayahi Takagaki;
Movie;Christmas Wedding Planner;Justin G.Dyck;Canada;2017;Stephen Huszar.Kelly Rutherford;
Movie;Halkaa;Nila Madhab Panda;India;2018;Tathastu.Aryan Preet.Ranvir Shorey.Paoli Dam.Kumud Mishra.Devender Chaudhary.Shrikant Verma;
Movie;05.the Devil Take You;Timo Tjahjanto;Indonesia;2018;Chelsea Islan.Pevita Pearce.Samo Rafael.Karina Suwandhi.Ray Sahetapy.Ruth Marini.Hadijah Shahab.Clara Bernadeth.Kinaryosih.Nicole Rossi;
Movie;Muzaffarnagar Baaqi Hai;Nakul Singh Sawhney;India;2015;;
Movie;Odu Raja Odu;Nishanth Ravindaran.Jathin Sanker Raj;India;2018;Guru Somasundaram.Nasser.Anand Sami.Lakshmi Priyaa Chandramouli.Ashiqa Salvan.Ravindra Vijay.Abishek K.S..Venkatesh Harinathan;
Movie;Savita Damodar Paranjpe;Swapna Waghmare Joshi;India;2018;Subodh Bhave.Trupti Toradmal.Rakesh Bapat.Pallavi Patil.Angad Mhaskar.Hemangi Kavi.Savita Prabhune.Sandeep Avchat;
Movie;The Giant;Aitor Arregi.Jon Garaño;Spain;2017;Joseba Usabiaga.Eneko Sagardoy.Iñigo Aranburu.Ramón Aguirre.Aia Kruse.Iñigo Azpitarte;
Movie;BuyBust;Erik Matti;Philippines;2018;Anne Curtis.Brandon Vera.Victor Neri.Arjo Atayde.Levi Ignacio.Alex Calleja.Lao Rodriguez.Joross Gamboa.Ricky Pascua.Nonie Buencamino;
Movie;Loudon Wainwright III: Surviving Twin;Christopher Guest;;2018;Loudon Wainwright III;
TV Show;Warrior;;Denmark;2018;Dar Salim.Danica Curcic.Lars Ranthe.Marco Ilsø.Søren Malling.Jakob Oftebro;
TV Show;Age of Tanks;;Germany.France.Russia;2017;;
Movie;All's Well.End's Well (2009);Vincent Kok;Hong Kong;2009;Louis Koo.Sandra Ng Kwan Yue.Raymond Wong.Ronald Cheng.Yao Chen.Guo Tao.Heung Kam Lee.Chun Chau Ha.Miki Shum;
Movie;Lommbock;Christian Zübert;Germany;2017;Lucas Gregorowicz.Moritz Bleibtreu.Louis Hofmann.Wotan Wilke Möhring.Alexandra Neldel.Melanie Winigir.Mavie Hörbiger.Dar Salim.Elmar Wepper.Antoine Monot Jr.;
TV Show;Medal of Honor;;United States;2018;Oliver Hudson.Ben Schwartz.Paul Wesley.Aldis Hodge.Jonny Weston.Joseph Cross.Jake Abel.Derek Mio;
Movie;Outlaw King;David Mackenzie;United Kingdom.United States;2018;Chris Pine.Aaron Taylor-Johnson.Florence Pugh.Billy Howle.Sam Spruell.Tony Curran.Callan Mulvey.James Cosmo.Stephen Dillane;
TV Show;Super Drags;;Brazil;2018;Fernando Mendonça.Sérgio Cantú.Wagner Follare.Pabllo Vittar.Silvetty Montilla.Rapha Vélez.Sylvia Salustti.Guilherme Briggs;
TV Show;The Queen of Flow;;Colombia;2018;Carolina Ramírez.Carlos Torres.Andrés Sandoval.Adriana Arango.Mabel Moreno.Luis Alfredo Velasco.Pacho Rueda.Diana Wiswell.Mariana Garzón.Kiño.Sebastián Silva.Mariana Gómez.María José Vargas.Guillermo Blanco.Juan Manuel Restrepo.Alejandro Otero.David Ojalvo;
TV Show;Treehouse Detectives;;South Korea.United States;2018;Brody Allen.Jenna Davis.Ryan Bartley.Philece Sampler.Leigh Kelly.Abby Trott;
TV Show;Westside;;United States;2018;;
TV Show;Transfers;;France.Belgium;2017;Arieh Worthalter.Brune Renault.Toinette Laquiere.Steve Tientcheu.Pili Groyne.Patrick Descamps.Patrick Raynal.Juliette Plumecocq-Mech.Sébastien Chassagne.Alexis Loret.Aissatou Diop;
TV Show;Damnation;;United States;2017;Logan Marshall-Green.Killian Scott.Sarah Jones.Chasten Harmon.Christopher Heyerdahl.Melinda Page Hamilton.Joe Adler;
Movie;Bucket List;Tejas Prabha Vijay Deoskar;India;2018;Madhuri Dixit.Sumeet Raghvan.Renuka Shahane.Milind Pathak.Vandana Gupte.Pradeep Velankar.Shubha Khote.Resham Tipnis;
Movie;John Leguizamo's Latin History for Morons;;United States;2018;John Leguizamo;
TV Show;Kopitiam;;Malaysia;2003;Joanna Bessey.Douglas Lim.Lina Teoh.Rashid Salleh.Mano Maniam.Tan Jin Chor;
Movie;Ana e Vitória;Matheus Souza;Brazil;2018;Ana Caetano.Vitória Falcão.Clarissa Müller.Bruce Gomlevsky.Thati Lopes.Caique Nogueira.Érika Mader.Victor Lamoglia.Gabriela Nunes.Bryan Ruffo.Hamilton Dias;
TV Show;Brainchild;;;2018;Sahana Srinivasan.Alie Ward.Ben Seidman;
Movie;ReMastered: Tricky Dick & The Man in Black;Sara Dosa;United States;2018;;
Movie;The Holiday Calendar;Bradley Walsh;United States;2018;Kat Graham.Quincy Brown.Ethan Peck.Ron Cephas Jones.Genelle Williams.Ali Hassan.Rodrigo Fernandez-Stoll.Laura de Carteret.Kevin Hanchard.Romaine Waite;
Movie;The Other Side of the Wind;Orson Welles;France.Iran.United States;2018;John Huston.Oja Kodar.Peter Bogdanovich.Susan Strasberg.Robert Random.Lilli Palmer.Norman Foster.Edmond O'Brien.Mercedes McCambridge.Cameron Mitchell.Paul Stewart;
Movie;They’ll Love Me When I’m Dead;Morgan Neville;United States;2018;Orson Welles.Alan Cumming;
Movie;Aagey Se Right;Indrajit Nattoji;India;2009;Shreyas Talpade.Kay Kay Menon.Shiv Pandit.Sanjay Sharma.Shenaz Treasury.Mahie Gill;
Movie;Aamir;Raj Kumar Gupta;India;2008;Rajeev Khandelwal.Gajraj Rao.Shashanka Ghosh.Jhilmil Hazrika.Gazala Amin.Allauddin Khan;
Movie;ABCD 2;Remo D'Souza;India;2015;Prabhu Deva.Varun Dhawan.Shraddha Kapoor.Lauren Gottlieb.Sushant Pujari.Punit Pathak.Dharmesh Yelande.Raghav Juyal;
Movie;ABCD: Any Body Can Dance;Remo D'Souza;India;2013;Prabhu Deva.Kay Kay Menon.Ganesh Acharya.Dharmesh Yelande.Salman.Lauren Gottlieb.Noorin Sha.Punit Pathak;
Movie;Arjun: The Warrior Prince;Arnab Chaudhuri;India;2011;Yudhveer Bakoliya.Ashok Banthia.Ravi Khanwilkar.Vijay Kashyap.Ila Arun.Sachin Khedekar.Rajeshwari Sachdev.Hemanth Mahaur;
Movie;Asees;Rana Ranbir;India;2018;Rana Ranbir.Neha Pawar.Kuljinder Sidhu.Rupinder Roopi.Sardar Sohi.Pardeep Sran.Seema Kaushal.Rajvir Boparai;
Movie;Barfi!;Anurag Basu;India;2012;Ranbir Kapoor.Priyanka Chopra.Ileana D'Cruz.Saurabh Shukla.Ashish Vidyarthi.Rupa Ganguly.Bholaraj Sapkota.Jishu Sengupta.Haradhan Bannerjee;
Movie;Chance Pe Dance;Ken Ghosh;India;2010;Shahid Kapoor.Genelia D'Souza.Mohnish Bahl.Satish Shah.Parikshat Sahni.Vikas Bhalla.Kurush Deboo.Zain Khan;
Movie;Christmas With A View;Justin G.Dyck;Canada;2018;Scott Cavalheiro.Kaitlyn Leeb.Vivica A.Fox.Patrick Duffy.Jess Walton.Mark Ghanimé;
Movie;Chup Chup Ke;Priyadarshan.Kookie V.Gulati;India;2006;Shahid Kapoor.Kareena Kapoor.Om Puri.Neha Dhupia.Sunil Shetty.Paresh Rawal.Rajpal Yadav.Shakti Kapoor;
TV Show;Creators;;Argentina;2015;Fabio Aste.Héctor Segura.Sebastian Rosas;
Movie;Dhan Dhana Dhan Goal;Vivek Agnihotri;United Kingdom.India;2007;John Abraham.Bipasha Basu.Arshad Warsi.Shernaz Patel.Boman Irani.Dibyendu Bhattacharya.Gilbert Montoya.Dalip Tahil.Rajendranath Zutshi;
Movie;Dhoondte Reh Jaoge;Umesh Shukla;India;2009;Paresh Rawal.Kunal Khemu.Sonu Sood.Soha Ali Khan.Johnny Lever.Dilip Joshi.Asrani.Malay Chakrabarty.Razak Khan.Hrishitaa Bhatt;
Movie;Do Dooni Chaar;Habib Faisal;India;2010;Rishi Kapoor.Neetu Singh.Aditi Vasudev.Archit Krishna.Akhilendra Mishra.Natasha Rastogi.Manoj Bakshi.Supriya Shukla;
Movie;Edge of Fear;Bobby Roth;United States;2018;Shen Lin.Robert Patrick.Zhu Zhu.Jodi Lyn O'Keefe.Robert Knepper.Amaury Nolasco.Rockmond Dunbar.Andy Mackenzie.Robert Crayton.John Edward Lee.Trent Brya;
Movie;Edmilson Filho: Notas.Comedy about Relationships;Halder Gomes;Brazil;2017;Edmilson Filho;
TV Show;Follow This;;United States;2018;John Stanton.Scaachi Koul.Azeen Ghorayshi.Bim Adewunmi.Juliane Loffler.Charlie Warzel;
Movie;Gaddar: the Traitor;Amitoj Mann;India;2015;Harbhajan Mann.Manpneet Grewal.Ashish Duggal.Girja Shankar.Shavinder Mahal.Rupinder Roopi.Anita Meet.Tarsem Paul.Balkaran Wadding.Bobby Sandhu;
Movie;Ghanchakkar;Raj Kumar Gupta;India;2013;Emraan Hashmi.Vidya Balan.Rajesh Sharma.Namit Das.Parvin Dabas;
Movie;Grandmaster;B.Unnikrishnan;India;2012;Mithra Kurian.Anoop Menon.Mohanlal.Narein.Priyamani.Roma.Siddique.Jagathy Sreekumar;
Movie;Hattrick;Milan Luthria;India;2007;Nana Patekar.Paresh Rawal.Kunal Kapoor.Rimi Sen.Danny Denzongpa.Prateeksha Lonkar.Gautam Bhimani.Harsha Bhogle;
Movie;Heroine;Madhur Bhandarkar;India;2012;Kareena Kapoor.Arjun Rampal.Randeep Hooda.Divya Dutta.Govind Namdeo.Sanjay Suri.Mugdha Godse.Shahana Goswami.Ranvir Shorey.Lillete Dubey;
Movie;Himmatwala;Sajid Khan;India;2013;Ajay Devgn.Tamannaah Bhatia.Paresh Rawal.Zarina Wahab.Mahesh Manjrekar;
Movie;Husbands in Goa;Saji Surendran;India;2012;Jayasurya.Indrajith.Asif Ali.Lal.Bhama.Ramya Nambeeshan.Rima Kallingal.Praveena;
